date, pm25, pm10, o3, no2, so2, co
2019/5/28, 111, 96, 97, 18, 10, 5
2019/5/29, 126, 104, 89, 16, 6, 5
2019/5/30, 110, 197, 93, 14, 7, 5
2019/5/31, 129, 152, 148, 28, 9, 10
2019/6/1, 155, 144, 75, 14, 7, 8
2019/6/2, 154, 249, 47, 11, 4, 6
2019/6/3, 139, 116, 66, 16, 5, 8
2019/6/4, 120, 147, 90, 19, 6, 8
2019/6/5, 151, 131, 100, 14, 7, 6
2019/6/6, 135, 106, 116, 11, 8, 7
2019/6/7, 123, 99, 110, 14, 5, 7
2019/6/8, 126, 136, 128, 19, 9, 11
2019/6/9, 150, 130, 91, 15, 6, 8
2019/6/10, 124, 471, 46, 11, 3, 7
2019/6/11, 143, 187, 53, 9, 5, 5
2019/6/12, 113, 130, 58, 12, 4, 6
2019/6/13, 107, 103, 97, 6, 4, 4
2019/6/14, 97, 148, 84, 12, 8, 6
2019/6/15, 141, 104, 40, 4, 4, 3
2019/6/16, 88, 75, 41, 8, 4, 4
2019/6/17, 77, 52, 53, 9, 1, 4
2019/6/18, 64, 117, 125, 12, 4, 7
2019/6/19, 139, 81, 104, 12, 3, 5
2019/6/20, 89, 109, 83, 22, 4, 7
2019/6/21, 140, 97, 117, 22, 8, 7
2019/6/22, 138, 89, 60, 9, 3, 5
2019/6/23, 97, 56, 25, 7, 2, 5
2019/6/24, 62, 85, 51, 36, 1, 4
2019/6/25, 74, 90, 81, 17, 6, 6
2019/6/26, 134, 130, 82, 18, 5, 6
2019/6/27, 129, 143, 53, 16, 6, 5
2019/6/28, 108, 149, 43, 8, 3, 4
2019/6/29, 109, 174, 48, 12, 5, 5
2019/6/30, 128, 110, 55, 10, 6, 5
2019/1/1, 248, 249, 2, 17, 5, 18
2019/1/2, 307, 287, 29, 22, 5, 18
2019/1/3, 332, 229, 13, 26, 4, 17
2019/1/4, 278, 269, 19, 16, 4, 26
2019/1/5, 306, 148, 15, 16, 2, 17
2019/1/6, 233, 141, 17, 14, 4, 16
2019/1/7, 211, 125, 19, 13, 3, 13
2019/1/8, 202, 128, 20, 17, 3, 17
2019/1/9, 198, 119, 19, 15, 5, 12
2019/1/10, 189, 194, 12, 24, 7, 22
2019/1/11, 268, 188, 22, 20, 5, 19
2019/1/12, 287, 233, 23, 21, 3, 20
2019/1/13, 315, 102, 18, 14, 3, 11
2019/1/14, 175, 105, 15, 16, 5, 10
2019/1/15, 178, 182, 14, 21, 6, 16
2019/1/16, 257, 309, 23, 24, 6, 24
2019/1/17, 369, 170, 18, 20, 3, 15
2019/1/18, 239, 158, 14, 20, 5, 15
2019/1/19, 231, 202, 14, 20, 4, 26
2019/1/20, 258, 135, 7, 16, 3, 16
2019/1/21, 206, 52, 13, 14, 2, 10
2019/1/22, 131, 109, 8, 19, 2, 15
2019/1/23, 190, 113, 1, 16, 4, 16
2019/1/24, 182, 87, 1, 14, 3, 10
2019/1/25, 150, 97, 1, 11, 3, 10
2019/1/26, 161, 114, 1, 12, 4, 9
2019/1/27, 191, 114, 24, 15, 4, 10
2019/1/28, 191, 124, 41, 16, 7, 12
2019/1/29, 203, 155, 38, 19, 10, 13
2019/1/30, 236, 183, 27, 20, 4, 19
2019/1/31, 246, 145, 29, 17, 4, 14
2019/2/1, 224, 144, 22, 10, 2, 12
2019/2/2, 226, 120, 19, 8, 2, 11
2019/2/3, 185, 96, 31, 14, 2, 12
2019/2/4, 171, 159, 36, 24, 5, 20
2019/2/5, 229, 124, 24, 20, 3, 10
2019/2/6, 204, 67, 13, 12, 3, 5
2019/2/7, 151, 80, 30, 12, 3, 4
2019/2/8, 124, 89, 36, 13, 4, 3
2019/2/9, 150, 118, 34, 13, 5, 6
2019/2/10, 184, 131, 30, 18, 5, 10
2019/2/11, 195, 180, 29, 31, 7, 14
2019/2/12, 243, 156, 36, 19, 6, 14
2019/2/13, 231, 131, 18, 20, 4, 9
2019/2/14, 214, 100, 18, 15, 4, 6
2019/2/15, 181, 104, 17, 10, 3, 6
